County,DwellingTypeDescr,AgeBand,CO2_decile,N
Dublin,Top-floor apartment,I,"(2.5e+03,3.1e+03]",17
Dublin,Mid-floor apartment,J,"(3.1e+03,3.65e+03]",17
Dublin,Mid-terrace house,E,"(2.5e+03,3.1e+03]",17
Laois,Semi-detached house,J,"(4.22e+03,4.78e+03]",17
Dublin,End of terrace house,J,"(3.1e+03,3.65e+03]",17
Limerick,Semi-detached house,I,"(4.78e+03,5.57e+03]",17
Meath,Semi-detached house,J,"(3.65e+03,4.22e+03]",17
Galway,Semi-detached house,G,"(4.78e+03,5.57e+03]",17
Wicklow,Semi-detached house,I,"(3.65e+03,4.22e+03]",17
Kerry,Semi-detached house,I,"(5.57e+03,6.56e+03]",17
Limerick,Semi-detached house,H,"(4.78e+03,5.57e+03]",17
Louth,Semi-detached house,H,"(3.1e+03,3.65e+03]",17
Dublin,Detached house,J,"(3.65e+03,4.22e+03]",17
Cork,Mid-terrace house,J,"(3.1e+03,3.65e+03]",17
Cork,Mid-terrace house,I,"(3.1e+03,3.65e+03]",17
Dublin,Mid-terrace house,F,"(4.22e+03,4.78e+03]",17
Wexford,Detached house,H,"(4.78e+03,5.57e+03]",16
Roscommon,Detached house,I,"(7.83e+03,9.82e+03]",16
Limerick,Detached house,G,"(6.56e+03,7.83e+03]",16
Limerick,Detached house,H,"(7.83e+03,9.82e+03]",16
Donegal,Detached house,H,"(7.83e+03,9.82e+03]",16
Kerry,Detached house,I,"(5.57e+03,6.56e+03]",16
Meath,Detached house,I,"(9.82e+03,3.55e+04]",16
Dublin,Detached house,G,"(4.22e+03,4.78e+03]",16
Clare,Detached house,I,"(6.56e+03,7.83e+03]",16
Westmeath,Detached house,H,"(7.83e+03,9.82e+03]",16
Wexford,Detached house,I,"(9.82e+03,3.55e+04]",16
Cavan,Detached house,I,"(7.83e+03,9.82e+03]",16
Cork,Detached house,I,"(4.22e+03,4.78e+03]",16
Dublin,Maisonette,I,"(2.5e+03,3.1e+03]",16
Dublin,Mid-terrace house,D,"(3.65e+03,4.22e+03]",16
